Date,Число погибших в поименных списках,Оценка на основе данных РНД,ED_high,ED_low,"Оперативная оценка, обучающий период",ED_prediction_high,ED_prediction_low,"Оперативная оценка, прогноз",ED_onlyprediction_high,ED_onlyprediction_low
2022-02-21,6.0,673.8929164029204,782.2852441326482,598.5907544486176,9.832867540118158,10.961617568064055,8.916904680268164,,,
2022-02-28,112.0,1696.0247379049288,1971.4063489263258,1506.4503959849544,189.1771494984273,215.15035599913784,169.49004848874554,,,
2022-03-07,355.0,2513.207798521558,2946.33546056281,2224.3248766597344,518.6168858414297,593.1776513198307,464.03006424370255,,,
2022-03-14,746.0,2946.974014397946,3458.729825571305,2607.0080251256895,1071.3865370950825,1229.0522013795069,957.2046228380684,,,
2022-03-21,1148.0,3503.4158965623865,4105.708003532989,3100.72442221369,1609.1334067677828,1845.628218930598,1438.2732415958935,,,
2022-03-28,1463.0,4038.196010482573,4723.674069160362,3577.059462020902,1982.7925135994224,2276.2398284638207,1772.2333981874094,,,
2022-04-04,1737.0,4293.867776237878,5033.855435796561,3799.0687942582417,2341.380080805233,2686.8361053483827,2093.39454368561,,,
2022-04-11,1935.0,4537.838001917413,5314.45510734679,4016.2450910045836,2621.352657019982,3010.4122596593525,2342.4548749014525,,,
2022-04-18,2125.0,4859.876080383307,5697.614818209509,4298.482246549333,2863.0323444893365,3290.4554413446162,2557.505457565371,,,
2022-04-25,2412.0,5171.212945277585,6051.173751628454,4577.433919297692,3266.3867884000574,3760.058564555855,2914.849212068659,,,
2022-05-02,2679.0,5452.514523531236,6394.146888426979,4821.17727934761,3668.313050908005,4226.860134643182,3271.0378617893884,,,
2022-05-09,2961.0,5672.8972566513185,6652.316838448356,5015.1324107812925,4057.2116302251634,4673.388058916582,3618.395920158934,,,
2022-05-16,3225.0,5921.012161904969,6943.326228509312,5233.894325202405,4459.583071286839,5143.345077041291,3973.7466276030173,,,
2022-05-23,3532.0,6166.690802935303,7240.450156890145,5446.76173936684,4930.710799436285,5687.948091557636,4392.332028520617,,,
2022-05-30,3830.0,6357.335542721752,7465.4846315741825,5614.243559051998,5386.124695170858,6212.260766030961,4797.94539122428,,,
2022-06-06,4092.0,6562.56537930359,7698.8313805972375,5796.7544232210485,5779.25689552653,6664.572013132498,5148.316906154019,,,
2022-06-13,4333.0,6696.898213493557,7846.69953612747,5917.91900781178,6143.104617706114,7090.343556452322,5469.279401299775,,,
2022-06-20,4610.0,6997.517826376057,8185.920971244594,6187.212134097817,6609.08449617755,7640.6197401911295,5877.453462117832,,,
2022-06-27,4851.0,7223.171052245141,8451.585908317353,6385.623824515699,7003.082694044786,8098.179427520273,6226.281126257137,,,
2022-07-04,5091.0,7495.5779142458805,8759.385268791297,6630.1444610638,7408.865521967301,8566.985348833523,6586.5574775687355,,,
2022-07-11,5297.0,7672.184485207311,8962.883559173619,6785.78697353017,7777.404942715327,8995.01144522975,6912.514668383947,,,
2022-07-18,5505.0,8000.826838190382,9353.079111092147,7072.758922303506,8108.974557330993,9376.730801349788,7207.678600600088,,,
2022-07-25,5679.0,8135.857017960122,9526.82622974233,7186.160048607722,8421.955469445948,9744.238761991004,7482.541206550738,,,
2022-08-01,5835.0,8281.436466191584,9690.727474662428,7315.7393131455465,8666.026661223994,10027.582587559438,7698.687833800982,,,
2022-08-08,5995.0,8449.905705100022,9881.852983514647,7465.189988152044,8971.215596838014,10386.276274539865,7966.442201247099,,,
2022-08-15,6159.0,8685.848065103437,10164.061072344124,7671.11890644468,9267.178231186766,10728.383077640514,8228.907808079304,,,
2022-08-22,6322.0,8900.831746712372,10420.005714528,7859.135902414768,9530.370932125643,11032.058622377373,8462.805859807328,,,
2022-08-29,6484.0,9264.736627837896,10848.353364604447,8178.72473939121,9807.61813694756,11352.9217004983,8708.643704185199,,,
2022-09-05,6730.0,9779.456189610717,11451.356324849052,8633.292445380528,10187.042896147252,11789.532618717822,9046.627755449583,,,
2022-09-12,6950.0,10186.215690790206,11960.71626982663,8980.713861064516,10544.902009996198,12198.18489729931,9366.612914291527,,,
2022-09-19,7165.0,10706.438440418298,12589.340610560255,9432.327965426837,10928.786191790636,12641.995739208982,9707.025590382484,,,
2022-09-26,7391.0,11403.29379223475,13425.338545159164,10039.447778523583,11321.208512582045,13100.245428802978,10052.945270351627,,,
2022-10-03,7687.0,12033.4107407598,14175.582920877356,10590.480598699054,11839.916964206923,13701.296605956099,10512.344413099005,,,
2022-10-10,7978.0,12473.820748880187,14686.12787199993,10980.029568966842,12395.118538830331,14350.5401325189,11000.792828995687,,,
2022-10-17,8240.0,13024.554149376105,15324.839108220505,11467.981171403122,12876.112668864764,14909.997623829917,11425.612715036716,,,
2022-10-24,8494.0,13726.96993349455,16135.30365189892,12091.008535121926,13357.121835915255,15468.686268737209,11850.707512306928,,,
2022-10-31,8758.0,14550.29331315679,17071.998301209045,12826.755227479747,13855.807177971968,16049.580914536697,12290.588150662448,,,
2022-11-07,9080.0,15559.912916440278,18259.917596426236,13715.633244376844,14478.713661485668,16771.662006210165,12841.489690061628,,,
2022-11-14,9359.0,16536.090310706837,19392.47399130539,14579.257259612206,15008.031586415722,17387.847007126536,13308.635138154335,,,
2022-11-21,9605.0,17367.356845940845,20362.12495925264,15313.469169885308,15494.675718509046,17953.911490075967,13738.169279790456,,,
2022-11-28,9818.0,18579.867101285447,21785.1912038633,16378.978446130044,15897.79471884946,18416.161829722998,14097.136679055151,,,
2022-12-05,10140.0,20004.546498774936,23435.089096590527,17638.911207275072,16490.392082885995,19100.744023278778,14622.553522471173,,,
2022-12-12,10376.0,21022.124082100632,24615.240874920768,18537.932136949377,16962.89174252589,19649.70119332583,15039.742542262356,,,
2022-12-19,10678.0,22304.581275994708,26102.56436275219,19668.333836693197,17640.095555193857,20436.304264288367,15637.16249715974,,,
2022-12-26,10930.0,23904.076562100385,27950.000572215937,21081.221607553518,18173.460089929125,21051.49529991217,16109.96544365581,,,
2023-01-02,11239.0,25350.512296966866,29628.57274362511,22357.658900568997,18807.43845838347,21781.080305988646,16672.84034480694,,,
2023-01-09,11756.0,26696.56958396747,31190.334104017777,23544.717939869344,19953.90942736513,23115.421341926027,17683.02299536445,,,
2023-01-16,12245.0,27875.41596215606,32548.14211448193,24589.355578907835,20954.43663292452,24277.200571879945,18566.621220215122,,,
2023-01-23,12660.0,29166.997164340977,34039.2577733468,25731.735049821997,21840.587999127667,25308.704936138674,19347.837888171187,,,
2023-01-30,13088.0,30867.556166355407,36008.16102089701,27233.49347429614,22707.668621310226,26310.20362218682,20116.117250351257,,,
2023-02-06,13976.0,32672.11469303022,38105.37947983469,28826.89518010546,24587.207024425737,28490.103641634647,21776.623701034936,,,
2023-02-13,14557.0,34289.70484366424,39973.81331136576,30258.467114829073,25739.755689137142,29809.962546502877,22803.211405090715,,,
2023-02-20,15255.0,35721.69198235647,41662.13969732269,31512.44901065714,27189.45817243468,31480.311461222198,24089.262580663264,,,
2023-02-27,15968.0,37138.48488172729,43307.39175078185,32763.31488745897,28725.952821032668,33266.706003216095,25444.449094061372,,,
2023-03-06,16609.0,38404.63854635944,44782.3937476642,33879.3534301652,30147.452389395938,34925.53195932908,26694.98095655958,,,
2023-03-13,17226.0,39612.0753539578,46167.384037530355,34951.248214491985,31534.557182474662,36538.958295504686,27917.71077295385,,,
2023-03-20,17833.0,41212.450658976006,48025.69213098745,36361.96289460228,32827.088091110876,38032.892068458335,29061.95124402821,,,
2023-03-27,18490.0,42107.85987147065,49050.05345680759,37158.417505062585,34267.59322243872,39708.9534773284,30331.781307305682,,,
2023-04-03,19461.0,42903.64065334773,49965.26917775674,37862.38347079059,36382.27248650044,42155.80617918844,32202.17565735517,,,
2023-04-10,20111.0,43709.0495908607,50885.14448663399,38578.9814282539,37891.74033287564,43925.59005888832,33525.6542266305,,,
2023-04-17,20665.0,44485.28285633152,51785.5806449034,39263.11822760184,39077.83837224953,45307.26017938277,34570.58754886375,,,
2023-04-24,21241.0,45325.39793562409,52753.23231297229,40007.806823241386,40533.41897519968,47018.79749650521,35843.84621081822,,,
2023-05-01,21674.0,45965.27044623989,53477.7771611415,40578.67612565803,41532.72922370291,48190.893236818076,36720.03795035702,,,
2023-05-08,22311.0,46921.0170359062,54593.71809401389,41420.05139198467,42865.436829016966,49732.99444624352,37899.29001739528,,,
2023-05-15,22835.0,47827.45139889477,55650.43863057665,42216.94932896231,43946.27426744872,50988.45985303043,38853.55646992815,,,
2023-05-22,23382.0,48539.08358516363,56479.98460348862,42844.597106041336,45121.85084373258,52348.60453228527,39893.47936680184,,,
2023-05-29,23917.0,49340.83851103629,57412.035997739724,43552.92843776176,46317.33948658343,53746.840484469605,40943.6247727276,,,
2023-06-05,24272.0,50272.08978508634,58484.97845884684,44379.75167196836,47045.71546973498,54587.46829778177,41589.16569600924,,,
2023-06-12,24615.0,51443.81933469688,59853.28331292835,45411.0822242552,47846.03599921524,55525.55445393947,42291.118511707806,,,
2023-06-19,25208.0,52421.71380570698,60986.815364240516,46272.781043129005,49106.81036200302,56984.76492130213,43406.308520967475,,,
2023-06-26,25894.0,53540.37560496862,62287.56987722676,47259.90682191317,50589.03979132903,58698.42206442117,44718.051081117344,,,
2023-07-03,26363.0,54556.606035929755,63467.35667591319,48158.907917269375,51543.39928048093,59798.56322069605,45564.6654178331,,,
2023-07-10,26775.0,55111.42119734248,64097.05241987217,48654.16834942496,52455.30774790726,60858.45274612728,46368.95222212212,,,
2023-07-17,27218.0,55816.64058556223,64908.202243215805,49279.52684191211,53398.49702039458,61951.263818767795,47202.74350836175,,,
2023-07-24,27626.0,56530.01536830728,65746.3662516905,49905.33677139024,54298.02797781037,63005.557797997906,47992.119065449064,,,
2023-07-31,28067.0,57280.42156182129,66607.40971587274,50569.703304848575,55202.02251779199,64046.035732370285,48794.56707940239,,,
2023-08-07,28921.0,57934.27765417074,67363.00779649914,51148.39546672511,57183.66044985832,66355.21494523098,50538.57613566829,,,
2023-08-14,29317.0,58846.25854197539,68423.26179124456,51952.57864093917,58039.469124193514,67351.48085658149,51292.77575673298,,,
2023-08-21,29741.0,59639.77526183471,69351.70296053616,52649.81156034577,58916.52963889643,68367.7719869897,52068.20439793925,,,
2023-08-28,30173.0,60448.60748048677,70287.93757211673,53362.913099093865,59823.8134158246,69417.94878112609,52870.79287531036,,,
2023-09-04,30579.0,61269.11767913574,71235.85841651469,54088.575347232654,60741.39214554595,70489.61931158447,53677.58798797453,,,
2023-09-11,31026.0,62135.186044515576,72228.8611178041,54856.64601636885,61726.31445229732,71638.86305048932,54544.29948143073,,,
2023-09-18,31686.0,62738.455864346324,72938.65217279995,55386.139625464755,63127.71834289776,73262.9366947209,55782.893517971905,,,
2023-09-25,32199.0,63535.17871556678,73858.68298413481,56089.6249540656,64246.519453836896,74561.07779816829,56770.94349473904,,,
2023-10-02,32907.0,64443.096034158945,74900.26095217945,56897.32904445088,65765.83329740992,76334.22693835426,58107.72651338907,,,
2023-10-09,33303.0,66238.34453001713,76971.72417646824,58486.42802934665,66632.49109126415,77340.71584448003,58872.46900907718,,,
2023-10-16,33931.0,67702.04842559907,78676.60805858078,59775.340149482785,68070.87120577903,79014.41017210225,60139.90142782168,,,
2023-10-23,34338.0,69020.42702712034,80221.26882318815,60934.39618190521,68971.93655612833,80060.02121440342,60935.238961211835,,,
2023-10-30,34817.0,70185.31430502365,81565.91007938428,61965.292802947966,69990.0319926082,81238.73706207934,61835.62026458959,,,
2023-11-06,35452.0,71201.77780704563,82732.4614732117,62867.51051613637,71413.07793928511,82898.6226761939,63087.7839622409,,,
2023-11-13,36148.0,72253.85228910568,83968.12535723746,63793.15877448761,73008.36609234085,84767.1589728613,64487.70001933991,,,
2023-11-20,36742.0,73349.37022397073,85229.15286125452,64764.75163248095,74332.21428971797,86310.51763083576,65652.83426193053,,,
2023-11-27,37404.0,74962.36435772825,87106.77987947056,66185.56315988775,75741.5778392092,87949.25706141713,66895.67445985759,,,
2023-12-04,37946.0,76434.22227461307,88798.80785996672,67490.38531576235,76951.33637475988,89359.79617817586,67960.2493286626,,,
2023-12-11,38641.0,77804.83282916584,90390.13043611258,68697.56962953825,78355.87535728356,90981.36397215363,69204.74263350028,,,
2023-12-18,39323.0,79341.7588002243,92204.32496199005,70043.65466579894,79817.3492971747,92682.90104764572,70492.43906120487,,,
2023-12-25,39867.0,80782.59074125688,93877.1863703662,71316.63546485246,81018.32512940401,94083.71538542933,71549.25723024516,,,
2024-01-01,40401.0,81541.62352728052,94757.91279335863,71984.60031349803,82165.22644700912,95418.60483096019,72560.1120652184,,,
2024-01-08,41125.0,82411.0860228343,95776.02923422698,72749.0500554118,83715.0722539926,97219.763011226,73927.02977548122,,,
2024-01-15,41856.0,83498.65037458867,97049.06010434018,73702.02190749382,85268.3361782103,99022.77304195543,75298.49905929013,,,
2024-01-22,42425.0,84652.88538649559,98429.7125152088,74707.49321196195,86563.11209673877,100536.27394106083,76436.18068990402,,,
2024-01-29,43077.0,85671.0941095624,99595.22060173345,75612.29677789038,88048.90896414233,102273.17507912705,77741.30989482687,,,
2024-02-05,43676.0,,,,,,,89397.48826877719,103835.47434034874,78932.80483448792
2024-02-12,44244.0,,,,,,,90752.39118972597,105430.0301523341,80117.77987477444
2024-02-19,44724.0,,,,,,,91870.45097836811,106741.39578216118,81097.86806567332
2024-02-26,45431.0,,,,,,,93447.4478389789,108587.97756170935,82482.04156033359
2024-03-04,46406.0,,,,,,,95634.30209409478,111136.48128545051,84407.21087214553
2024-03-11,47566.0,,,,,,,98244.81179572646,114182.53253086189,86702.96955580203
2024-03-18,48230.0,,,,,,,99763.67207711758,115954.35320900173,88039.07412290496
2024-03-25,48865.0,,,,,,,101286.47844650674,117744.15688315012,89371.93029668758
2024-04-01,49500.0,,,,,,,102719.61073736199,119415.75757874572,90632.73263354461
2024-04-08,50100.0,,,,,,,104110.2836144633,121046.87980649863,91851.7297446803
2024-04-15,50713.0,,,,,,,105585.48224175633,122776.76724589175,93144.5711824003
2024-04-22,51378.0,,,,,,,107193.52548878895,124666.66357468258,94551.98208593695
2024-04-29,51922.0,,,,,,,108526.60691050532,126237.35094012014,95716.71765470513
2024-05-06,52599.0,,,,,,,110129.05095674821,128121.19329591996,97118.9407751157
2024-05-13,53657.0,,,,,,,112635.72972894301,131064.33980820629,99314.36655950753
2024-05-20,54262.0,,,,,,,114079.73986492501,132765.62846851558,100576.26517468151
2024-05-27,54743.0,,,,,,,115167.93615947364,134045.40763692584,101528.4642011342
2024-06-03,55770.0,,,,,,,117524.87847575117,136795.41007678027,103601.29690724287
2024-06-10,56384.0,,,,,,,119057.39302990811,138602.70237634316,104939.26468905194
2024-06-17,56857.0,,,,,,,120145.49781944093,139877.0959064906,105893.94657067298